Title: "TRM.csv"

5783,PST,'RESERVOIR STORAGE (af)'
19841101,0000,14088
19841201,0000,9075
19850101,0000,12678
19850201,0000,10824
19850301,0000,27723
19850401,0000,95090
19850501,0000,141914
19850601,0000,88281
19850701,0000,22075
19850801,0000,8012
19850901,0000,10344
19851001,0000,13987
19851101,0000,19184
19851201,0000,9697
19860101,0000,15754
19860201,0000,76470
19860301,0000,69474
19860401,0000,68861
19860501,0000,117552
19860601,0000,133520
19860701,0000,64505
19860801,0000,20115
19860901,0000,11485
19861001,0000,17390
19861101,0000,20950
19861201,0000,12090
19870101,0000,16160
19870201,0000,12250
19870301,0000,30670
19870401,0000,69410
19870501,0000,105920
19870601,0000,65111
19870701,0000,24574
19870801,0000,12723
19870901,0000,9636
19871001,0000,8727
19871101,0000,13797
19871201,0000,13959
19880101,0000,9560
19880201,0000,18315
19880301,0000,33807
19880401,0000,62680
19880501,0000,101873
19880601,0000,85262
19880701,0000,28033
19880801,0000,6508
19880901,0000,5926
19881001,0000,5660
19881101,0000,9382
19881201,0000,13325
19890101,0000,15482
19890201,0000,17261
19890301,0000,35756
19890401,0000,92432
19890501,0000,129022
19890601,0000,60285
19890701,0000,14700
19890801,0000,7334
19890901,0000,7058
19891001,0000,8281
19891101,0000,9410
19891201,0000,8870
19900101,0000,9863
19900201,0000,12367
19900301,0000,29677
19900401,0000,57458
19900501,0000,88527
19900601,0000,52388
19900701,0000,15037
19900801,0000,11113
19900901,0000,8913
19901001,0000,7424
19901101,0000,7527
19901201,0000,8655
19910101,0000,11125
19910201,0000,12332
19910301,0000,48462
19910401,0000,85111
19910501,0000,141569
19910601,0000,103640
19910701,0000,21920
19910801,0000,9361
19910901,0000,8418
19911001,0000,9633
19911101,0000,14277
19911201,0000,8563
19920101,0000,10926
19920201,0000,6490
19920301,0000,20599
19920401,0000,57545
19920501,0000,88881
19920601,0000,33528
19920701,0000,11579
19920801,0000,7705
19920901,0000,6263
19921001,0000,9435
19921101,0000,9608
19921201,0000,9372
19930101,0000,9863
19930201,0000,7297
19930301,0000,45150
19930401,0000,87575
19930501,0000,137989
19930601,0000,122476
19930701,0000,37186
19930801,0000,6741
19930901,0000,4557
19931001,0000,5031
19931101,0000,7092
19931201,0000,8090
19940101,0000,7997
19940201,0000,6503
19940301,0000,28394
19940401,0000,61765
19940501,0000,118131
19940601,0000,96432
19940701,0000,27525
19940801,0000,3153
19940901,0000,2865
19941001,0000,7112
19941101,0000,8259
19941201,0000,8256
19950101,0000,6609
