Title: "LEW.csv"

5165,PST,'RESERVOIR STORAGE (af)'
19920201,0000,13925
19920301,0000,13653
19920401,0000,13985
19920501,0000,14419
19920601,0000,14285
19920701,0000,14434
19920801,0000,14472
19920901,0000,14374
19921001,0000,14449
19921101,0000,14000
19921201,0000,13793
19930101,0000,13881
19930201,0000,13793
19930301,0000,14030
19930401,0000,14188
19930501,0000,14255
19930601,0000,13712
19930701,0000,13822
19930801,0000,13734
19930901,0000,13756
19931001,0000,13793
19931101,0000,13896
19931201,0000,13986
19940101,0000,14030
19940201,0000,13941
19940301,0000,13823
19940401,0000,14075
19940501,0000,13993
19940601,0000,14000
19940701,0000,14045
19940801,0000,13624
19940901,0000,14299
19941001,0000,13941
19941101,0000,13587
19941201,0000,13741
19950101,0000,14247
19950201,0000,13903
19950301,0000,13440
19950401,0000,13978
19950501,0000,13993
19950601,0000,13845
19950701,0000,14015
19950801,0000,13955
19950901,0000,13926
19951001,0000,13845
19951101,0000,13830
19951201,0000,13601
19960101,0000,13800
19960201,0000,14091
19960301,0000,13484
19960401,0000,13830
19960501,0000,13763
19960601,0000,13807
19960701,0000,13697
19960801,0000,13971
19960901,0000,14562
19961001,0000,13860
19961101,0000,13785
19961201,0000,14075
19970101,0000,13697
19970201,0000,13675
19970301,0000,13844
19970401,0000,13815
19970501,0000,13469
19970601,0000,14412
19970701,0000,14091
19970801,0000,14225
19970901,0000,15225
19971001,0000,13874
19971101,0000,13881
19971201,0000,13970
19980101,0000,13653
19980201,0000,14404
19980301,0000,13359
19980401,0000,14083
19980501,0000,13587
19980601,0000,13727
19980701,0000,14120
19980801,0000,13631
19980901,0000,13955
19981001,0000,13881
19981101,0000,14187
19981201,0000,13830
19990101,0000,14015
19990201,0000,14053
19990301,0000,14098
19990401,0000,13734
19990501,0000,13814
19990601,0000,14329
19990701,0000,14240
19990801,0000,13896
19990901,0000,13815
19991001,0000,14210
19991101,0000,14023
19991201,0000,13845
20000101,0000,13926
20000201,0000,14248
20000301,0000,14128
20000401,0000,14105
20000501,0000,13926
20000601,0000,13808
20000701,0000,13462
20000801,0000,13771
20000901,0000,13956
20001001,0000,13779
20001101,0000,14517
20001201,0000,13938
20010101,0000,14427
20010201,0000,14375
20010301,0000,13882
20010401,0000,13941
20010501,0000,14195
20010601,0000,13675
20010701,0000,14210
20010801,0000,13609
20010901,0000,14158
20011001,0000,14053
20011101,0000,13882
20011201,0000,13986
20020101,0000,14322
20020201,0000,13882
20020301,0000,14158
20020401,0000,14150
20020501,0000,13926
20020601,0000,14248
20020701,0000,14307
20020801,0000,14285
20020901,0000,13823
20021001,0000,14023
20021101,0000,14016
20021201,0000,14203
20030101,0000,13971
20030201,0000,14091
20030301,0000,14068
20030401,0000,13808
20030501,0000,13830
20030601,0000,14263
20030701,0000,13978
20030801,0000,13889
20030901,0000,13904
20031001,0000,13918
20031101,0000,14038
20031201,0000,13808
20040101,0000,13859
20040201,0000,14240
20040301,0000,13639
20040401,0000,14113
20040501,0000,14375
20040601,0000,13823
20040701,0000,13941
20040801,0000,14165
20040901,0000,14165
20041001,0000,14128
20041101,0000,13941
20041201,0000,13734
20050101,0000,14165
20050201,0000,13786
20050301,0000,14180
20050401,0000,13941
20050501,0000,14203
20050601,0000,14038
20050701,0000,14210
20050801,0000,14375
20050901,0000,13889
20051001,0000,14375
20051101,0000,13904
20051201,0000,13845
20060101,0000,14233
20060201,0000,13874
20060301,0000,14083
20060401,0000,14195
20060501,0000,13587
20060601,0000,13602
20060701,0000,13823
20060801,0000,13491
20060901,0000,14487
20061001,0000,14128
20061101,0000,13971
20061201,0000,13859
20070101,0000,m

