Date,PST,Outflow
19940219,0000,300
19940220,0000,300
19940221,0000,m
19940222,0000,300
19940223,0000,300
19940224,0000,300
19940225,0000,300
19940226,0000,300
19940227,0000,300
19940228,0000,300
19940301,0000,300
19940302,0000,300
19940303,0000,300
19940304,0000,320
19940305,0000,300
19940306,0000,314
19940307,0000,300
19940308,0000,350
19940309,0000,366
19940310,0000,300
19940311,0000,300
19940312,0000,309
19940313,0000,353
19940314,0000,300
19940315,0000,300
19940316,0000,300
19940317,0000,300
19940318,0000,321
19940319,0000,300
19940320,0000,321
19940321,0000,302
19940322,0000,946
19940323,0000,300
19940324,0000,318
19940325,0000,m
19940326,0000,m
19940327,0000,333
19940328,0000,300
19940329,0000,725
19940330,0000,300
19940331,0000,756
19940401,0000,782
19940402,0000,300
19940403,0000,334
19940404,0000,300
19940405,0000,1046
19940406,0000,1953
19940407,0000,1552
19940408,0000,1962
19940409,0000,1963
19940410,0000,3939
19940411,0000,3617
19940412,0000,3518
19940413,0000,3934
19940414,0000,3756
19940415,0000,3658
19940416,0000,3664
19940417,0000,3729
19940418,0000,3756
19940419,0000,3562
19940420,0000,3549
19940421,0000,3324
19940422,0000,4023
19940423,0000,3678
19940424,0000,3671
19940425,0000,2431
19940426,0000,1896
19940427,0000,1781
19940428,0000,1746
19940429,0000,2334
19940430,0000,3761
19940501,0000,3866
19940502,0000,2336
19940503,0000,1872
19940504,0000,1762
19940505,0000,1813
19940506,0000,1815
19940507,0000,3637
19940508,0000,3797
19940509,0000,3816
19940510,0000,m
19940511,0000,3780
19940512,0000,2774
19940513,0000,3901
19940514,0000,3830
19940515,0000,3790
19940516,0000,3657
19940517,0000,3840
19940518,0000,3794
19940519,0000,1500
19940520,0000,4036
19940521,0000,3720
19940522,0000,3713
19940523,0000,3705
19940524,0000,3838
19940525,0000,3854
19940526,0000,m
19940527,0000,3542
19940528,0000,3560
19940529,0000,3557
19940530,0000,3546
19940531,0000,3640
19940601,0000,3791
19940602,0000,3791
19940603,0000,3703
19940604,0000,3778
19940605,0000,3683
19940606,0000,3683
19940607,0000,3640
19940608,0000,3652
19940609,0000,3633
19940610,0000,3567
19940611,0000,3621
19940612,0000,3596
19940613,0000,3736
19940614,0000,2223
19940615,0000,3680
19940616,0000,3682
19940617,0000,3694
19940618,0000,3737
19940619,0000,3728
19940620,0000,3775
19940621,0000,3784
19940622,0000,3364
19940623,0000,3759
19940624,0000,3661
19940625,0000,3752
19940626,0000,3799
19940627,0000,3800
19940628,0000,3763
19940629,0000,3758
19940630,0000,2701
19940701,0000,2800
19940702,0000,2936
19940703,0000,2957
19940704,0000,2957
19940705,0000,2957
19940706,0000,2885
19940707,0000,3297
19940708,0000,3275
19940709,0000,3320
19940710,0000,3284
19940711,0000,3305
19940712,0000,3292
19940713,0000,2885
19940714,0000,2888
19940715,0000,450
19940716,0000,2901
19940717,0000,2657
19940718,0000,3045
19940719,0000,3954
19940720,0000,3360
19940721,0000,3752
19940722,0000,3904
19940723,0000,3913
19940724,0000,3914
19940725,0000,3914
19940726,0000,3908
19940727,0000,3896
19940728,0000,3896
19940729,0000,3895
19940730,0000,3887
19940731,0000,3888
19940801,0000,3901
19940802,0000,3879
19940803,0000,2864
19940804,0000,2926
19940805,0000,2938
19940806,0000,2947
19940807,0000,2941
19940808,0000,2905
19940809,0000,2948
19940810,0000,2946
19940811,0000,2921
19940812,0000,3048
19940813,0000,2941
19940814,0000,2882
19940815,0000,2871
19940816,0000,2865
19940817,0000,2865
19940818,0000,2997
19940819,0000,3014
19940820,0000,2980
19940821,0000,2806
19940822,0000,2980
19940823,0000,2471
19940824,0000,2748
19940825,0000,3143
19940826,0000,2629
19940827,0000,3177
19940828,0000,3128
19940829,0000,2914
19940830,0000,2893
19940831,0000,3001
19940901,0000,455
19940902,0000,450
19940903,0000,450
19940904,0000,1115
19940905,0000,450
19940906,0000,451
19940907,0000,450
19940908,0000,992
19940909,0000,m
19940910,0000,m
19940911,0000,450
19940912,0000,450
19940913,0000,450
19940914,0000,1963
19940915,0000,1616
19940916,0000,m
19940917,0000,m
19940918,0000,1462
19940919,0000,1505
19940920,0000,1526
19940921,0000,1477
19940922,0000,1481
19940923,0000,942
19940924,0000,450
19940925,0000,450
19940926,0000,450
19940927,0000,1488
19940928,0000,1522
19940929,0000,1521
19940930,0000,1402
19941001,0000,m
19941002,0000,1167
19941003,0000,814
19941004,0000,450
19941005,0000,450
19941006,0000,694
19941007,0000,620
19941008,0000,711
19941009,0000,709
19941010,0000,300
19941011,0000,300
19941012,0000,300
19941013,0000,300
19941014,0000,1359
19941015,0000,1070
19941016,0000,708
19941017,0000,1489
19941018,0000,300
19941019,0000,300
19941020,0000,300
19941021,0000,300
19941022,0000,311
19941023,0000,306
19941024,0000,300
19941025,0000,310
19941026,0000,303
19941027,0000,300
19941028,0000,300
19941029,0000,300
19941030,0000,313
19941031,0000,300
19941101,0000,300
19941102,0000,300
19941103,0000,300
19941104,0000,300
19941105,0000,300
19941106,0000,300
19941107,0000,300
19941108,0000,300
19941109,0000,300
19941110,0000,300
19941111,0000,300
19941112,0000,300
19941113,0000,300
19941114,0000,300
19941115,0000,300
19941116,0000,300
19941117,0000,300
19941118,0000,300
19941119,0000,300
19941120,0000,750
19941121,0000,306
19941122,0000,757
19941123,0000,300
19941124,0000,300
19941125,0000,300
19941126,0000,300
19941127,0000,300
19941128,0000,300
19941129,0000,300
19941130,0000,302
19941201,0000,864
19941202,0000,300
19941203,0000,300
19941204,0000,300
19941205,0000,300
19941206,0000,300
19941207,0000,721
19941208,0000,300
19941209,0000,1068
19941210,0000,320
19941211,0000,300
19941212,0000,300
19941213,0000,300
19941214,0000,300
19941215,0000,300
19941216,0000,300
19941217,0000,300
19941218,0000,300
19941219,0000,1498
19941220,0000,302
19941221,0000,300
19941222,0000,300
19941223,0000,1027
19941224,0000,1027
19941225,0000,300
19941226,0000,300
19941227,0000,300
19941228,0000,300
19941229,0000,300
19941230,0000,300
19941231,0000,1312
19950101,0000,300
19950102,0000,300
19950103,0000,300
19950104,0000,1061
19950105,0000,1061
19950106,0000,300
19950107,0000,300
19950108,0000,300
19950109,0000,300
19950110,0000,435
19950111,0000,381
19950112,0000,381
19950113,0000,300
19950114,0000,300
19950115,0000,300
19950116,0000,300
19950117,0000,300
19950118,0000,304
19950119,0000,300
19950120,0000,307
19950121,0000,302
19950122,0000,300
19950123,0000,300
19950124,0000,300
19950125,0000,300
19950126,0000,913
19950127,0000,300
19950128,0000,300
19950129,0000,300
19950130,0000,300
19950131,0000,300
19950201,0000,342
19950202,0000,500
19950203,0000,394
19950204,0000,300
19950205,0000,300
19950206,0000,300
19950207,0000,300
19950208,0000,300
19950209,0000,300
19950210,0000,300
19950211,0000,300
19950212,0000,300
19950213,0000,300
19950214,0000,300
19950215,0000,300
19950216,0000,300
19950217,0000,300
19950218,0000,300
19950219,0000,300
19950220,0000,300
19950221,0000,300
19950222,0000,300
19950223,0000,300
19950224,0000,300
19950225,0000,300
19950226,0000,300
19950227,0000,300
19950228,0000,300
19950301,0000,300
19950302,0000,300
19950303,0000,300
19950304,0000,300
19950305,0000,300
19950306,0000,300
19950307,0000,300
19950308,0000,300
19950309,0000,300
19950310,0000,300
19950311,0000,300
19950312,0000,300
19950313,0000,300
19950314,0000,300
19950315,0000,300
19950316,0000,1187
19950317,0000,2767
19950318,0000,3733
19950319,0000,4000
19950320,0000,4000
19950321,0000,4000
19950322,0000,4001
19950323,0000,4000
19950324,0000,4003
19950325,0000,4000
19950326,0000,6000
19950327,0000,6000
19950328,0000,6000
19950329,0000,6000
19950330,0000,6000
19950331,0000,6023
19950401,0000,4091
19950402,0000,3707
19950403,0000,3758
19950404,0000,2880
19950405,0000,2066
19950406,0000,1564
19950407,0000,500
19950408,0000,500
19950409,0000,500
19950410,0000,500
19950411,0000,500
19950412,0000,562
19950413,0000,1313
19950414,0000,2192
19950415,0000,2000
19950416,0000,2000
19950417,0000,2000
19950418,0000,1992
19950419,0000,2066
19950420,0000,1940
19950421,0000,2008
19950422,0000,1605
19950423,0000,2182
19950424,0000,2024
19950425,0000,1213
19950426,0000,1393
19950427,0000,3585
19950428,0000,4000
19950429,0000,4000
19950430,0000,4000
19950501,0000,4000
19950502,0000,4000
19950503,0000,4000
19950504,0000,4000
19950505,0000,4066
19950506,0000,4015
19950507,0000,4516
19950508,0000,4502
19950509,0000,4643
19950510,0000,4534
19950511,0000,4538
19950512,0000,4531
19950513,0000,4500
19950514,0000,4500
19950515,0000,4513
19950516,0000,6832
19950517,0000,6856
19950518,0000,6623
19950519,0000,5581
19950520,0000,2351
19950521,0000,4801
19950522,0000,4168
19950523,0000,3948
19950524,0000,4309
19950525,0000,4469
19950526,0000,4369
19950527,0000,4392
19950528,0000,4106
19950529,0000,3430
19950530,0000,4432
19950531,0000,4430
19950601,0000,4428
19950602,0000,4433
19950603,0000,4267
19950604,0000,4244
19950605,0000,4239
19950606,0000,4240
19950607,0000,4051
19950608,0000,3777
19950609,0000,3755
19950610,0000,3770
19950611,0000,3770
19950612,0000,3770
19950613,0000,3777
19950614,0000,3778
19950615,0000,3060
19950616,0000,3611
19950617,0000,3717
19950618,0000,3457
19950619,0000,3400
19950620,0000,3541
19950621,0000,3408
19950622,0000,3402
19950623,0000,3448
19950624,0000,3430
19950625,0000,3438
19950626,0000,3357
19950627,0000,3153
19950628,0000,3405
19950629,0000,3403
19950630,0000,3404
19950701,0000,3263
19950702,0000,3581
19950703,0000,3580
19950704,0000,3555
19950705,0000,3589
19950706,0000,3507
19950707,0000,3552
19950708,0000,3565
19950709,0000,3599
19950710,0000,3564
19950711,0000,3525
19950712,0000,3572
19950713,0000,3545
19950714,0000,3552
19950715,0000,3616
19950716,0000,3562
19950717,0000,3537
19950718,0000,3534
19950719,0000,3536
19950720,0000,3617
19950721,0000,2893
19950722,0000,3504
19950723,0000,3634
19950724,0000,3613
19950725,0000,3612
19950726,0000,3549
19950727,0000,3645
19950728,0000,m
19950729,0000,3546
19950730,0000,3553
19950731,0000,3570
19950801,0000,3555
19950802,0000,3548
19950803,0000,3500
19950804,0000,3545
19950805,0000,3561
19950806,0000,3578
19950807,0000,3571
19950808,0000,3561
19950809,0000,3691
19950810,0000,450
19950811,0000,m
19950812,0000,m
19950813,0000,3220
19950814,0000,3113
19950815,0000,3068
19950816,0000,m
19950817,0000,3124
19950818,0000,3247
19950819,0000,450
19950820,0000,2908
19950821,0000,3168
19950822,0000,3223
19950823,0000,3031
19950824,0000,3189
19950825,0000,3214
19950826,0000,m
19950827,0000,3317
19950828,0000,3937
19950829,0000,1200
19950830,0000,3320
19950831,0000,3225
19950901,0000,m
19950902,0000,m
19950903,0000,m
19950904,0000,3203
19950905,0000,3196
19950906,0000,3179
19950907,0000,3171
19950908,0000,3215
19950909,0000,2761
19950910,0000,3201
19950911,0000,3213
19950912,0000,2602
19950913,0000,2691
19950914,0000,2708
19950915,0000,2714
19950916,0000,2705
19950917,0000,2704
19950918,0000,2704
19950919,0000,2674
19950920,0000,2706
19950921,0000,2669
19950922,0000,2666
19950923,0000,2694
19950924,0000,2719
19950925,0000,2554
19950926,0000,2645
19950927,0000,2719
19950928,0000,2602
19950929,0000,2585
19950930,0000,1833
