Fall,Inflow,Inflow(14day),Inflow(21day),Inflow(28day),Inflow(3day),Inflow(7day),Inflow(7dayForecast),Inflow(t+1),Inflow(t+2),Inflow(t+3),Inflow(t-1),Inflow(t-2),Inflow(t-3),Outflow,Outflow(14day),Outflow(21day),Outflow(28day),Outflow(7day),Spring,Storage,Summer,Winter
0,0.2263544536271809,0.11983208710481441,0.14347632165813987,0.17662600026236389,0.6837281910009182,0.12117539026629937,0.29728191000918275,0.2343250688705234,0.24306703397612486,0.27090909090909093,0.18804407713498625,0.1538475665748393,0.11548209366391184,0.22593204775022957,0.12342516069788796,0.14492194674012857,0.1770195461104552,0.12393283484192574,1,0.8618888888888888,0,0
0,0.9564407713498625,0.964668240850059,0.9414409025318115,0.8876587957497047,3.8325730027548213,0.9599228650137743,0.8997859110586383,0.9474710743801655,0.937564738292011,0.9198898071625345,0.9601212121212124,0.9576859504132231,0.9583250688705235,0.9596694214876033,0.974607634789453,0.9520335825790373,0.8974269972451789,0.9659677292404565,1,0.8779611111111112,0,0
0,0.5818835709744801,0.5962776617322072,0.6067255688034909,0.6191358425124658,2.3321381648654373,0.5858048445061432,0.5787670338319688,0.5809947628129447,0.5805733660279115,0.5798904126176854,0.5825301970756516,0.583385099748736,0.5843392970665697,0.5805443041806678,0.5950980621110492,0.6056595064387273,0.6180719713187247,0.5843963828379414,1,0.913047619047619,0,0
0,0.9011987193805379,0.9118242445515171,0.9159842723479086,0.9114110214110216,3.6123981833072736,0.9066441175532086,0.9024972079517534,0.9020355893083167,0.9018062690789963,0.9014905814905814,0.9020534584170949,0.9034919216737399,0.9056540838359021,0.9029469138560049,0.9128749056021784,0.917616601252965,0.9137244328153419,0.9080038716402354,1,0.8978333333333334,0,0
0,0.6441873278236914,0.6619818968909879,0.675401850674578,0.6815860503133231,2.587938122483578,0.6501668028940756,0.6386122967941149,0.6420377198559017,0.6410273363000636,0.6401118881118881,0.6456825598643782,0.6485509641873278,0.6495172706081798,0.6427158296249205,0.6604685011957738,0.673715133351497,0.680109829564375,0.6484434353525261,1,0.883042735042735,0,0
0,0.4428831774286319,0.42469080702846934,0.4187280540527294,0.41084214486811893,1.7589949444494901,0.4330882969844008,0.44643598825416997,0.44424181878727326,0.44540913631822726,0.44619138437320255,0.44167226712681257,0.43877576968486054,0.4356637302091847,0.44212999122090035,0.42379161963577544,0.41783221107896434,0.40997729543184086,0.4321673132062743,1,0.8922771672771673,0,0
0,0.6638791511518785,0.6602704654652706,0.6615472838849463,0.6671744705510939,2.6548070111706474,0.6615832652196288,0.6592977585185378,0.6632010413828595,0.6614960796778979,0.6604595404595404,0.6648285048285049,0.6637556383010929,0.6623437168891714,0.6626924590560954,0.6593889227655461,0.6607365506066805,0.6664387560491456,0.6608273112169216,1,0.9089108669108669,0,0
0,0.5361702127659576,0.5053510512698133,0.48280338616895685,0.4674638063419495,2.1253572475235916,0.5220179691359575,0.5487295167759384,0.5392321669304262,0.5416892327530626,0.5449903288201162,0.5330613680323546,0.5295914659164176,0.5265342008088624,0.5358982474649786,0.5054394734858951,0.4830284609008013,0.4676175404221825,0.5216883954214709,1,0.8918865248226949,0,0
0,0.5353285583103765,0.5644790764790765,0.5771251563251563,0.5888071362980454,2.1613281910009188,0.5505582579037125,0.5332699462154008,0.5345116620752984,0.5343030303030304,0.5342765840220386,0.5375206611570249,0.542319191919192,0.5461597796143252,0.5353667584940313,0.5645535878263152,0.5774321570685207,0.5893419388692115,0.5502043814771088,1,0.8926622222222224,0,0
0,0.8759040516024995,0.8622666321114215,0.8445552771938581,0.8264305391578117,3.5119478599744682,0.8766673385742121,0.8695604764784365,0.8713565813344085,0.8694806154673118,0.8678089094940535,0.8788228179802459,0.8779305247597932,0.8792904656319289,0.8741087146408654,0.8606774747794703,0.8435879862930863,0.8260143404267573,0.874312974534704,1,0.8832845528455284,0,0
0,0.903287419651056,0.8990581136035681,0.8064961301324938,0.7330867112685295,3.58831955922865,0.913739997376361,0.8814167650531287,0.899981634527089,0.8689072543617998,0.8792653810835628,0.9104866850321396,0.891900826446281,0.8826446280991735,0.9137190082644627,0.8992155319428047,0.8046490882854518,0.7322497704315886,0.9178643578643578,1,0.8367407407407407,0,0
0,0.17256198347107438,0.2126092089728454,0.17875377148104424,0.17724124360488003,1.6434159779614326,0.33692247146792603,0.369366391184573,0.29763085399449035,0.4126721763085399,0.3809366391184573,0.37641873278236915,0.5487603305785125,0.5456749311294766,0.16903581267217632,0.21167256985438804,0.18043814771087502,0.17728846910665094,0.3290515545061,0,0.8831666666666667,1,0
0,0.7181267217630853,0.7243038779402414,0.70729674366038,0.6822513849786578,2.8640856113583384,0.7190488299579207,0.7012048557503103,0.7171392244119515,0.7131892350074166,0.7069930069930069,0.7155202373384191,0.7148548421275694,0.7155838101292645,0.7191947446492899,0.7245206308842673,0.7080771753499027,0.6833816183816185,0.7195023158659523,0,0.872361111111111,1,0
0,0.572806324110672,0.6095771948736377,0.6290618209195284,0.6484146946597539,2.31596837944664,0.5912071591122975,0.5668155296613796,0.5703820816864296,0.5676128877709905,0.5667792550005989,0.5765792310456341,0.5810779734099892,0.5855048508803449,0.5721236076176788,0.6095404068921855,0.62932920395371,0.6488602570025495,0.5910120972571566,0,0.9019142512077296,1,0
