Fall,Inflow,Inflow(14day),Inflow(21day),Inflow(28day),Inflow(3day),Inflow(7day),Inflow(7dayForecast),Inflow(t+1),Inflow(t+2),Inflow(t+3),Inflow(t-1),Inflow(t-2),Inflow(t-3),Outflow,Outflow(14day),Outflow(21day),Outflow(28day),Outflow(7day),Spring,Storage,Summer,Winter
0,0.46122612603353197,0.5098841484171541,0.5995532204434127,0.6638088675084767,1.7097209364242045,0.423064947201267,0.48051855945857225,0.4673398032624736,0.4693119572072936,0.4773371067212145,0.4319699807828769,0.4129690360452852,0.4035557935625102,0.4575169595757745,0.5110739423904576,0.6010290850988219,0.6648781108629002,0.42442269934020077,1,0.9119322962079146,0,0
0,0.7749900182015977,0.6271700047597814,0.5676266359710955,0.5656968858857389,2.990279311210511,0.6913024240739136,0.7649417854926335,0.7369573417078188,0.7397500366265128,0.740353729904192,0.7622486543897704,0.7403242814516223,0.7127163571675202,0.7750832716347353,0.6258293990142271,0.5683520962629715,0.5671454692907155,0.6899625194819919,1,0.9280196177410894,0,0
0,0.5639219405059824,0.5245382053538201,0.5260218726740666,0.5294015893926548,2.213419115941127,0.5375418936344201,0.6017949256826194,0.573786270633593,0.5837919333005771,0.5936869138584132,0.5541631840824823,0.5495945671771865,0.5457394241754757,0.5643578577358578,0.5249381204910496,0.5264044354513271,0.5302734238524056,0.5378537495990967,1,0.9094467165967851,0,0
0,0.697865903477989,0.6508981842964539,0.6305508194451878,0.6110857996569955,2.749196166985267,0.6714695035432179,0.7233790769699443,0.7050156559483644,0.711513187409361,0.7181916955107981,0.6907549317162797,0.6836886165281852,0.676886715262812,0.6983818044205425,0.6508012325247896,0.63053319185034,0.6109170783920213,0.6713862341427927,1,0.9142499283095511,0,0
0,0.7871210978915993,0.7360375583560779,0.6938315186150139,0.6510223748992048,3.1224710308735824,0.7637501448445678,0.8068729162496577,0.7879054083450393,0.7906540708156053,0.7945732391604542,0.788155720191882,0.7778428721019699,0.7693513406881312,0.7910712572270094,0.7385675810910345,0.696187628538468,0.6533163041813401,0.7657574074640099,1,0.9199875003004735,0,0
0,0.8070867455705233,0.7679871411228394,0.7572390285436956,0.7467349203501744,3.1915375822378715,0.7829155608743512,0.82872084090477,0.8127437933091644,0.8180149436172565,0.8231494653756137,0.8009134296477693,0.7946806646613906,0.7888567423581879,0.8061616347032345,0.7672592253325125,0.7565494790037033,0.7462675225742548,0.7823446114713152,1,0.9063272968197879,0,0
0,0.7363340161284265,0.687253690328354,0.6850061077341455,0.6751115791545327,2.896197685789719,0.7056257852458119,0.7702464152374666,0.7455213879884615,0.7540567129388202,0.7628933391863042,0.727625636074078,0.7197222712802537,0.7125157623069603,0.7396406047225194,0.6900263244625594,0.687516142520502,0.6776481939393233,0.7097634356594478,1,0.9008435071450384,0,0
0,0.6888321283599151,0.6235097691647988,0.5970098958603387,0.5729631655687711,2.705946679404758,0.6539976217394646,0.7216566904482787,0.6990714473448171,0.7085715641570123,0.7158006224421258,0.6807713046670644,0.6723962874581249,0.663946958919654,0.6887930171338459,0.6227819278720453,0.5965155423790869,0.5725084975657173,0.6528836967722287,1,0.9104737190812721,0,0
0,0.6706460154440124,0.6121225994769365,0.5903287867879258,0.5712042051475887,2.630638067185642,0.6370594886024469,0.703557696321455,0.6792732018365575,0.6881918472288506,0.6961435345278618,0.6617227981458407,0.6531893358238029,0.6450799177719868,0.6699556576563737,0.6116347118067699,0.5898232101962058,0.5707563624744465,0.6365830306969762,1,0.9196931350109142,0,0
0,0.48628638734645796,0.3593131204530406,0.3430762253211889,0.33867173011774,1.8161431672514228,0.40234609744958055,0.5684001954021688,0.5084528920057348,0.530344053633485,0.551169999290783,0.46543262926173296,0.44352199893478406,0.42090215170844786,0.49446045976723785,0.36200417146679364,0.34479158989277836,0.33991822351695694,0.4080138728388006,1,0.919922598014471,0,0
0,0.7170922077848888,0.6501760301856431,0.6339763367894247,0.617118450796768,2.808799003026943,0.6780678171329552,0.7463828761853779,0.7273608487533116,0.7343037089262594,0.7405717517811115,0.707652084391395,0.6966266526345651,0.6874280582160949,0.718292533600157,0.6514662758790585,0.6349951499204328,0.6181065761554085,0.6796964125073992,1,0.9275042730501164,0,0
0,0.5339849532239218,0.4520668796412327,0.4186845260015584,0.39636886365519125,2.0744571551451787,0.4919347301565148,0.5738896461755356,0.5452990487012039,0.5558000099366217,0.5642059368660426,0.5240058542631332,0.5140555790907687,0.5024107685673552,0.536096674986375,0.4533394607361758,0.41923333382275985,0.39672255104397647,0.49392400499821826,1,0.9043114129686567,0,0
0,0.6289780462604105,0.5746415027769715,0.6422995367972653,0.6660828043508967,2.6674899145185047,0.6166670739200683,0.7938600490571487,0.6441914440629507,0.6731441810144027,0.7307854368567508,0.6857153982113827,0.6798886946654372,0.6729077753812737,0.6238327471864252,0.5743107335507868,0.6385110868613232,0.6637962254960099,0.611726394847867,1,0.9373843176846711,0,0
0,0.3886508608641599,0.45208703462110833,0.5094501661891869,0.5802988485059065,2.226982782716801,0.5271090710033393,0.41597657081113554,0.41726984868648853,0.4317462171622146,0.409969086486915,0.5511032494649585,0.6724210579013021,0.614807614486381,0.411762988055953,0.45152383296571275,0.5095137374518771,0.5805581000615649,0.5193255645277123,0,0.9327780582197543,1,0
