Title: "ENG.csv"

4872,PST,'RESERVOIR STORAGE (af)'
19771001,0000,65891
19771101,0000,65938
19771201,0000,63975
19780101,0000,60140
19780201,0000,55267
19780301,0000,66917
19780401,0000,66086
19780501,0000,63293
19780601,0000,65938
19780701,0000,67708
19780801,0000,68043
19780901,0000,68370
19781001,0000,67074
19781101,0000,67143
19781201,0000,69799
19790101,0000,66996
19790201,0000,59966
19790301,0000,63520
19790401,0000,67947
19790501,0000,67947
19790601,0000,69106
19790701,0000,66838
19790801,0000,68587
19790901,0000,66814
19791001,0000,68170
19791101,0000,68066
19791201,0000,66226
19800101,0000,66641
19800201,0000,71566
19800301,0000,65124
19800401,0000,61008
19800501,0000,68394
19800601,0000,67509
19800701,0000,67819
19800801,0000,67835
19800901,0000,69231
19801001,0000,65666
19801101,0000,65875
19801201,0000,60475
19810101,0000,62169
19810201,0000,66759
19810301,0000,65201
19810401,0000,68026
19810501,0000,66917
19810601,0000,65588
19810701,0000,66571
19810801,0000,68274
19810901,0000,68090
19811001,0000,65969
19811101,0000,65317
19811201,0000,74261
19820101,0000,70044
19820201,0000,71086
19820301,0000,71583
19820401,0000,71251
19820501,0000,70765
19820601,0000,68186
19820701,0000,67732
19820801,0000,68747
19820901,0000,m
19821001,0000,67382
19821101,0000,68788
19821201,0000,67153
19830101,0000,68587
19830201,0000,71774
19830301,0000,71169
19830401,0000,70748
19830501,0000,72358
19830601,0000,70864
19830701,0000,68989
19830801,0000,68306
19830901,0000,68892
19831001,0000,66830
19831101,0000,63823
19831201,0000,74074
19840101,0000,62879
19840201,0000,65464
19840301,0000,67947
19840401,0000,66602
19840501,0000,66759
19840601,0000,67390
19840701,0000,66956
19840801,0000,68587
19840901,0000,64655
19841001,0000,66109
19841101,0000,65573
19841201,0000,55534
19850101,0000,64647
19850201,0000,62916
19850301,0000,64127
19850401,0000,65047
19850501,0000,67549
19850601,0000,67756
19850701,0000,65666
19850801,0000,66869
19850901,0000,61723
19851001,0000,55637
19851101,0000,60256
19851201,0000,56663
19860101,0000,56545
19860201,0000,72938
19860301,0000,71028
19860401,0000,63459
19860501,0000,66586
19860601,0000,66508
19860701,0000,67367
19860801,0000,66862
19860901,0000,61516
19861001,0000,59440
19861101,0000,59300
19861201,0000,59860
19870101,0000,60260
19870201,0000,59120
19870301,0000,m
19870401,0000,65800
19870501,0000,65130
19870601,0000,65320
19870701,0000,66610
19870801,0000,65417
19870901,0000,65040
19871001,0000,62330
19871101,0000,59511
19871201,0000,58880
19880101,0000,59612
19880201,0000,59238
19880301,0000,63701
19880401,0000,65410
19880501,0000,65186
19880601,0000,65550
19880701,0000,65740
19880801,0000,65767
19880901,0000,63860
19881001,0000,63135
19881101,0000,60642
19881201,0000,59360
19890101,0000,59622
19890201,0000,61909
19890301,0000,70469
19890401,0000,67788
19890501,0000,67043
19890601,0000,66728
19890701,0000,67138
19890801,0000,67525
19890901,0000,63420
19891001,0000,59605
19891101,0000,59814
19891201,0000,59598
19900101,0000,59547
19900201,0000,59810
19900301,0000,62027
19900401,0000,66180
19900501,0000,68154
19900601,0000,67565
19900701,0000,67232
19900801,0000,67035
19900901,0000,65250
19901001,0000,61516
19901101,0000,59793
19901201,0000,59145
19910101,0000,59081
19910201,0000,60540
19910301,0000,61240
19910401,0000,66500
19910501,0000,66242
19910601,0000,66736
19910701,0000,67280
19910801,0000,66720
19910901,0000,64924
19911001,0000,61303
19911101,0000,57395
19911201,0000,59159
19920101,0000,59959
19920201,0000,63595
19920301,0000,62303
19920401,0000,67272
19920501,0000,66610
19920601,0000,67035
19920701,0000,67177
19920801,0000,66461
19920901,0000,65201
19921001,0000,60737
19921101,0000,61339
19921201,0000,61716
19930101,0000,61457
19930201,0000,70200
19930301,0000,70314
19930401,0000,68160
19930501,0000,70527
19930601,0000,67280
19930701,0000,67169
19930801,0000,67011
19930901,0000,65685
19931001,0000,48332
19931101,0000,46047
19931201,0000,57570
19940101,0000,60599
19940201,0000,60264
19940301,0000,59858
19940401,0000,59303
19940501,0000,59102
19940601,0000,59353
19940701,0000,66508
19940801,0000,67145
19940901,0000,65317
19941001,0000,58966
19941101,0000,59088
19941201,0000,60075
19950101,0000,71040
19950201,0000,64616
19950301,0000,70543
19950401,0000,73166
19950501,0000,72074
19950601,0000,71161
19950701,0000,68043
19950801,0000,68547
19950901,0000,63527
19951001,0000,62065
19951101,0000,60053
19951201,0000,68876
19960101,0000,69523
19960201,0000,70584
19960301,0000,68707
19960401,0000,67748
19960501,0000,70461
19960601,0000,66500
19960701,0000,65736
19960801,0000,66117
19960901,0000,66211
19961001,0000,65224
19961101,0000,61568
19961201,0000,79145
19970101,0000,71816
19970201,0000,70273
19970301,0000,63960
19970401,0000,63037
19970501,0000,67764
19970601,0000,67446
19970701,0000,67971
19970801,0000,67375
19970901,0000,63588
19971001,0000,66964
19971101,0000,45869
19971201,0000,49405
19980101,0000,70101
19980201,0000,70371
19980301,0000,70445
19980401,0000,70420
19980501,0000,70551
19980601,0000,70525
19980701,0000,66203
19980801,0000,64471
19980901,0000,67549
19981001,0000,67955
19981101,0000,71095
19981201,0000,60716
19990101,0000,69126
19990201,0000,71152
19990301,0000,60803
19990401,0000,62348
19990501,0000,62879
19990601,0000,66125
19990701,0000,67359
19990801,0000,65930
19990901,0000,67668
19991001,0000,67843
19991101,0000,66696
19991201,0000,66807
20000101,0000,60082
20000201,0000,71376
20000301,0000,67819
20000401,0000,69816
20000501,0000,68050
20000601,0000,66804
20000701,0000,64862
20000801,0000,67138
20000901,0000,65549
20001001,0000,52698
20001101,0000,70386
20001201,0000,66411
20010101,0000,67995
20010201,0000,66219
20010301,0000,69078
20010401,0000,65441
20010501,0000,66140
20010601,0000,67589
20010701,0000,65883
20010801,0000,69661
20010901,0000,66516
20011001,0000,66940
20011101,0000,65837
20011201,0000,65449
20020101,0000,61857
20020201,0000,63830
20020301,0000,63914
20020401,0000,64532
20020501,0000,66203
20020601,0000,63565
20020701,0000,64916
20020801,0000,67383
20020901,0000,68731
20021001,0000,68066
20021101,0000,64770
20021201,0000,66783
20030101,0000,64074
20030201,0000,64226
20030301,0000,64074
20030401,0000,63717
20030501,0000,70897
20030601,0000,66242
20030701,0000,65456
20030801,0000,66799
20030901,0000,68868
20031001,0000,65363
20031101,0000,63603
20031201,0000,64257
20040101,0000,64417
20040201,0000,66712
20040301,0000,63346
20040401,0000,67130
20040501,0000,62864
20040601,0000,63884
20040701,0000,66736
20040801,0000,65371
20040901,0000,64196
20041001,0000,66807
20041101,0000,63709
20041201,0000,65627
20050101,0000,66563
20050201,0000,65433
20050301,0000,65961
20050401,0000,62661
20050501,0000,70691
20050601,0000,63785
20050701,0000,65480
20050801,0000,65193
20050901,0000,65278
20051001,0000,63755
20051101,0000,64417
20051201,0000,79064
20060101,0000,63967
20060201,0000,73191
20060301,0000,71062
20060401,0000,73538
20060501,0000,70880
20060601,0000,64394
20060701,0000,65387
20060801,0000,67098
20060901,0000,67907
20061001,0000,68539
20061101,0000,68003
20061201,0000,70322
20070101,0000,m

