Title: "HID.csv"

5015,PST,'RESERVOIR STORAGE (af)'
20020201,0000,22916
20020301,0000,31044
20020401,0000,34134
20020501,0000,35497
20020601,0000,25108
20020701,0000,16296
20020801,0000,11205
20020901,0000,10366
20021001,0000,10200
20021101,0000,11749
20021201,0000,14539
20030101,0000,17819
20030201,0000,20909
20030301,0000,24929
20030401,0000,29772
20030501,0000,35517
20030601,0000,35201
20030701,0000,25574
20030801,0000,17898
20030901,0000,12320
20031001,0000,9521
20031101,0000,9688
20031201,0000,11764
20040101,0000,14545
20040201,0000,19829
20040301,0000,24921
20040401,0000,26791
20040501,0000,24744
20040601,0000,17233
20040701,0000,9587
20040801,0000,4931
20040901,0000,4643
20041001,0000,5852
20041101,0000,6680
20041201,0000,11951
20050101,0000,42733
20050201,0000,57459
20050301,0000,73021
20050401,0000,77926
20050501,0000,84371
20050601,0000,79511
20050701,0000,67650
20050801,0000,57357
20050901,0000,51249
20051001,0000,45038
20051101,0000,39413
20051201,0000,37991
20060101,0000,47740
20060201,0000,52915
20060301,0000,77009
20060401,0000,83841
20060501,0000,88404
20060601,0000,84887
20060701,0000,73731
20060801,0000,63607
20060901,0000,56099
20061001,0000,49303
20061101,0000,42558
20061201,0000,39078
20070101,0000,m

