Title: "ORO.csv"

5393,PST,'RESERVOIR STORAGE (af)'
19881001,0000,1506898
19881101,0000,1605991
19881201,0000,1660266
19890101,0000,1699766
19890201,0000,1716489
19890301,0000,2867122
19890401,0000,3343930
19890501,0000,3278807
19890601,0000,3092775
19890701,0000,2628087
19890801,0000,2283529
19890901,0000,2150283
19891001,0000,2145723
19891101,0000,2125012
19891201,0000,1888799
19900101,0000,1895501
19900201,0000,1935355
19900301,0000,2091865
19900401,0000,1871358
19900501,0000,1727608
19900601,0000,1692620
19900701,0000,1446234
19900801,0000,1187386
19900901,0000,1163259
19901001,0000,1173203
19901101,0000,1155535
19901201,0000,987094
19910101,0000,921058
19910201,0000,937977
19910301,0000,1320262
19910401,0000,1599577
19910501,0000,1684654
19910601,0000,1570271
19910701,0000,1449685
19910801,0000,1388101
19910901,0000,1399251
19911001,0000,1353409
19911101,0000,1331087
19911201,0000,1265734
19920101,0000,1277365
19920201,0000,1535990
19920301,0000,1775113
19920401,0000,2017514
19920501,0000,1879385
19920601,0000,1746733
19920701,0000,1562893
19920801,0000,1406168
19920901,0000,1316867
19921001,0000,1305700
19921101,0000,1294128
19921201,0000,1402048
19930101,0000,2001921
19930201,0000,2509679
19930301,0000,2935879
19930401,0000,3273870
19930501,0000,3515972
19930601,0000,3487573
19930701,0000,3118405
19930801,0000,2710315
19930901,0000,2665948
19931001,0000,2657674
19931101,0000,2627062
19931201,0000,2429938
19940101,0000,2410233
19940201,0000,2488895
19940301,0000,2624062
19940401,0000,2636169
19940501,0000,2532082
19940601,0000,2316197
19940701,0000,2024329
19940801,0000,1806248
19940901,0000,1683158
19941001,0000,1585818
19941101,0000,1567602
19941201,0000,1668244
19950101,0000,2708222
19950201,0000,2641052
19950301,0000,2773891
19950401,0000,3159172
19950501,0000,3452965
19950601,0000,3512826
19950701,0000,3428021
19950801,0000,3181820
19950901,0000,2897173
19951001,0000,2800576
19951101,0000,2775753
19951201,0000,2702081
19960101,0000,2750028
19960201,0000,2729463
19960301,0000,2985016
19960401,0000,3243172
19960501,0000,3504341
19960601,0000,3441019
19960701,0000,3052191
19960801,0000,2743821
19960901,0000,2735516
19961001,0000,2683587
19961101,0000,2715028
19961201,0000,2929103
19970101,0000,2860051
19970201,0000,2675667
19970301,0000,2962255
19970401,0000,3222432
19970501,0000,3187389
19970601,0000,2970340
19970701,0000,2441723
19970801,0000,2201798
19970901,0000,2139728
19971001,0000,2032123
19971101,0000,2061894
19971201,0000,2224172
19980101,0000,2654963
19980201,0000,2713849
19980301,0000,2812374
19980401,0000,3025675
19980501,0000,3301917
19980601,0000,3524003
19980701,0000,3340440
19980801,0000,3059166
19980901,0000,2831485
19981001,0000,2721845
19981101,0000,2889913
19981201,0000,2687877
19990101,0000,2767779
19990201,0000,2791483
19990301,0000,2941141
19990401,0000,3246589
19990501,0000,3454519
19990601,0000,3419375
19990701,0000,2865217
19990801,0000,2577812
19990901,0000,2427271
19991001,0000,2294809
19991101,0000,2287827
19991201,0000,2186332
20000101,0000,2345401
20000201,0000,2765788
20000301,0000,2838641
20000401,0000,3107588
20000501,0000,3127657
20000601,0000,2874068
20000701,0000,2413006
20000801,0000,2033621
20000901,0000,1919813
20001001,0000,1834794
20001101,0000,1761851
20001201,0000,1724943
20010101,0000,1737247
20010201,0000,1842156
20010301,0000,2048313
20010401,0000,2188360
20010501,0000,2118837
20010601,0000,1918269
20010701,0000,1730944
20010801,0000,1539412
20010901,0000,1487684
20011001,0000,1433405
20011101,0000,1416920
20011201,0000,1595882
20020101,0000,1915916
20020201,0000,2120160
20020301,0000,2414816
20020401,0000,2659095
20020501,0000,2639503
20020601,0000,2353690
20020701,0000,1883126
20020801,0000,1539412
20020901,0000,1399662
20021001,0000,1280304
20021101,0000,1227434
20021201,0000,1624336
20030101,0000,2153511
20030201,0000,2259701
20030301,0000,2634628
20030401,0000,3073436
20030501,0000,3512826
20030601,0000,3461356
20030701,0000,2850416
20030801,0000,2458192
20030901,0000,2283761
20031001,0000,2185994
20031101,0000,2072284
20031201,0000,2248197
20040101,0000,2458925
20040201,0000,2862905
20040301,0000,3066010
20040401,0000,3048779
20040501,0000,3041820
20040601,0000,2757705
20040701,0000,2265364
20040801,0000,1885961
20040901,0000,1752980
20041001,0000,1665639
20041101,0000,1604002
20041201,0000,1644209
20050101,0000,1814709
20050201,0000,2023476
20050301,0000,2457576
20050401,0000,2841886
20050501,0000,3495082
20050601,0000,3480532
20050701,0000,3255959
20050801,0000,3032324
20050901,0000,2877345
20051001,0000,2740131
20051101,0000,2615801
20051201,0000,2924550
20060101,0000,2790281
20060201,0000,3007906
20060301,0000,2898959
20060401,0000,3136502
20060501,0000,3479595
20060601,0000,3476472
20060701,0000,3258938
20060801,0000,3014386
20060901,0000,2832969
20061001,0000,2759691
20061101,0000,2679694
20061201,0000,2792688
20070101,0000,m

